Cod SIRUTA;Numele localitatii;Mediu;Cod judet;Numele localitatii superioare
154148;SEACA;Rural;TR;SEACA
152706;SECARA;Rural;TR;CRANGU
154219;SEGARCEA-DEAL;Rural;TR;SEGARCEA-VALE
154193;SEGARCEA-VALE;Rural;TR;SEGARCEA-VALE
152118;SERICU;Rural;TR;BLEJESTI
154175;SFINTESTI;Rural;TR;SFINTESTI
154237;SILISTEA;Rural;TR;SILISTEA
153801;SILISTEA;Rural;TR;VITANESTI
154273;SILISTEA MICA;Rural;TR;SILISTEA
154291;SILISTEA-GUMESTI;Rural;TR;SILISTEA-GUMESTI
154656;SLAVESTI;Rural;TR;TATARASTII DE JOS
154353;SLOBOZIA MANDRA;Rural;TR;SLOBOZIA MANDRA
153687;SMARDAN;Rural;TR;PLOPII-SLAVITESTI
154399;SMARDIOASA;Rural;TR;SMARDIOASA
154451;SOCETU;Rural;TR;STEJARU
154406;SOIMU;Rural;TR;SMARDIOASA
152975;SPATAREI;Rural;TR;FURCULESTI
153320;STEFENI;Rural;TR;MERENI
152653;STEJARU;Rural;TR;CRANGENI
154424;STEJARU;Rural;TR;STEJARU
154503;STOROBANEASA;Rural;TR;STOROBANEASA
154479;SUHAIA;Rural;TR;SUHAIA
154576;TALPA POSTEI;Rural;TR;TALPA
154567;TALPA-BASCOVENI;Rural;TR;TALPA
154530;TALPA-OGRAZILE;Rural;TR;TALPA
152207;TARNAVA;Rural;TR;BOTOROAGA
154594;TATARASTII DE JOS;Rural;TR;TATARASTII DE JOS
154674;TATARASTII DE SUS;Rural;TR;TATARASTII DE SUS
153758;TAVARLAU;Rural;TR;POENI
152029;TECUCI;Rural;TR;BALACI
153366;TELEORMANU;Rural;TR;MARZANESTI
154843;TIGANESTI;Rural;TR;TIGANESTI
154745;TRAIAN;Rural;TR;TRAIAN
154763;TRIVALEA-MOSTENI;Rural;TR;TRIVALEA-MOSTENI
154807;TROIANUL;Rural;TR;TROIANUL
153963;TUDOR VLADIMIRESCU;Rural;TR;SALCIA
152216;TUNARI;Rural;TR;BOTOROAGA
151692;TURNU MAGURELE;Urban;TR;MUNICIPIUL TURNU MAGURELE
154362;UDA-CLOCOCIOV;Rural;TR;SLOBOZIA MANDRA
154371;UDA-PACIUREA;Rural;TR;SLOBOZIA MANDRA
154335;UDENI;Rural;TR;SARBENI
154692;UDUPU;Rural;TR;TATARASTII DE SUS
152154;ULMENI;Rural;TR;BOGDANA
152163;URLUIU;Rural;TR;BOGDANA
152895;VACARESTI;Rural;TR;DRAGANESTI DE VEDE
152939;VACENI;Rural;TR;DRAGANESTI-VLASCA
152225;VALEA CIRESULUI;Rural;TR;BOTOROAGA
153375;VALEA PARULUI;Rural;TR;MARZANESTI
154120;VALEA POSTEI;Rural;TR;SCURTU MARE
153142;VANATORI;Rural;TR;LISA
154969;VARTOAPELE DE JOS;Rural;TR;VARTOAPE
154941;VARTOAPELE DE SUS;Rural;TR;VARTOAPE
153767;VATASI;Rural;TR;POENI
154825;VATRA;Rural;TR;TROIANUL
154861;VEDEA;Rural;TR;VEDEA
151914;VIDELE;Urban;TR;ORAS VIDELE
154059;VIILE;Rural;TR;SCRIOASTEA
154923;VIISOARA;Rural;TR;VIISOARA
153785;VITANESTI;Rural;TR;VITANESTI
152984;VOIEVODA;Rural;TR;FURCULESTI
154987;ZAMBREASCA;Rural;TR;ZAMBREASCA
151987;ZIMNICEA;Urban;TR;ORAS ZIMNICEA
153428;ZIMNICELE;Rural;TR;NASTURELU
152715;ZLATA;Rural;TR;CRANGU
169707;AFANATA;Rural;VL;FARTATESTI
170248;ALDESTI;Rural;VL;GOLESTI
168238;ALUNU;Rural;VL;ALUNU
168318;AMARASTI;Rural;VL;AMARASTI
171557;ANDREIESTI;Rural;VL;MUEREASCA
170186;ANINOASA;Rural;VL;GLAVILE
167491;ARANGHEL;Urban;VL;MUNICIPIUL RAMNICU VALCEA
173702;ARICIOAIA;Rural;VL;SIRINEASA
169048;ARMASESTI;Rural;VL;CERNISOARA
171343;ARSANCA;Rural;VL;MIHAESTI
171897;AURESTI;Rural;VL;ORLESTI
172965;AVRAMESTI;Rural;VL;SCUNDU
168381;BABENI;Urban;VL;ORAS BABENI
169609;BABENI-OLTETU;Rural;VL;FAURESTI
169379;BABUESTI;Rural;VL;DAESTI
169422;BADENI;Rural;VL;DANICEI
172607;BAIASA;Rural;VL;ROESTI
172171;BAIASU;Rural;VL;PERISANI
172616;BAJENARI;Rural;VL;ROESTI
172714;BALACIU;Rural;VL;ROSIILE
168461;BALCESTI;Urban;VL;ORAS BALCESTI
173392;BALOMIREASA;Rural;VL;STOILESTI
172527;BALOTA;Rural;VL;RACOVITA
171227;BALSOARA;Rural;VL;MADULARI
173953;BALTATENI;Rural;VL;TOMSANI
169208;BALTENI;Rural;VL;COPACENI
169912;BALUTOAIA;Rural;VL;FRANCESTI
171646;BANESTI;Rural;VL;NICOLAE BALCESCU
171236;BANTESTI;Rural;VL;MADULARI
172625;BARBARIGENI;Rural;VL;ROESTI
168577;BARBATESTI;Rural;VL;BARBATESTI
172475;BARBUCENI;Rural;VL;PRUNDENI
172019;BARCANELE;Rural;VL;PAUSESTI
173150;BARCANESTI;Rural;VL;STANESTI
173258;BARLOGU;Rural;VL;STOENESTI
173873;BAROIU;Rural;VL;TETOIU
171352;BARSESTI;Rural;VL;MIHAESTI
168835;BARSESTI;Rural;VL;BUDESTI
173409;BARSOIU;Rural;VL;STOILESTI
168817;BARZA;Rural;VL;BUDESTI
168586;BARZESTI;Rural;VL;BARBATESTI
174101;BATASANI;Rural;VL;VALEA MARE
169716;BECSANI;Rural;VL;FARTATESTI
168470;BENESTI;Urban;VL;ORAS BALCESTI
170630;BERBESTI;Rural;VL;LALOSU
168611;BERBESTI;Urban;VL;ORAS BERBESTI
168826;BERCIOIU;Rural;VL;BUDESTI
170818;BERESTI;Rural;VL;LAPUSATA
168693;BERISLAVESTI;Rural;VL;BERISLAVESTI
169271;BISTRITA;Rural;VL;COSTESTI
172536;BLANOIU;Rural;VL;RACOVITA
172974;BLEJANI;Rural;VL;SCUNDU
170257;BLIDARI;Rural;VL;GOLESTI
171129;BOCSA;Rural;VL;MACIUCA
168247;BODESTI;Rural;VL;ALUNU
168568;BODESTI;Rural;VL;BARBATESTI
171959;BOGDANESTI;Rural;VL;OTESANI
168906;BOGDANESTI;Rural;VL;BUJORENI
173962;BOGDANESTI;Rural;VL;TOMSANI
168764;BOISOARA;Rural;VL;BOISOARA
168390;BONCIU;Urban;VL;ORAS BABENI
169217;BONDOCI;Rural;VL;COPACENI
173613;BOROSESTI;Rural;VL;SUTESTI
171138;BOTORANI;Rural;VL;MACIUCA
168700;BRADISOR;Rural;VL;BERISLAVESTI
172545;BRADU-CLOCOTICI;Rural;VL;RACOVITA
170015;BRATIA DIN DEAL;Rural;VL;GALICEA
170024;BRATIA DIN VALE;Rural;VL;GALICEA
172180;BRATOVESTI;Rural;VL;TITESTI
167801;BREZOI;Urban;VL;ORAS BREZOI
170827;BROSTENI;Rural;VL;LAPUSATA
169565;BUCIUMENI;Rural;VL;DRAGOESTI
170532;BUCSANI;Rural;VL;IONESTI
168149;BUDA;Urban;VL;ORAS OCNELE MARI
173882;BUDELE;Rural;VL;TETOIU
169618;BUDESTI;Rural;VL;FAURESTI
168808;BUDESTI;Rural;VL;BUDESTI
173267;BUDURASTI;Rural;VL;STOENESTI
168915;BUJORENI;Rural;VL;BUJORENI
173418;BULAGEI;Rural;VL;STOILESTI
171334;BULETA;Rural;VL;MIHAESTI
168773;BUMBUESTI;Rural;VL;BOISOARA
168979;BUNESTI;Rural;VL;BUNESTI
169627;BUNGETANI;Rural;VL;FAURESTI
170462;BURDALESTI;Rural;VL;GUSOENI
174316;BUTANU;Rural;VL;ZATRENI
172028;BUZDUGAN;Rural;VL;PAUSESTI
167927;CACIULATA;Urban;VL;ORAS CALIMANESTI
169137;CAINENII MARI;Rural;VL;CAINENI
169128;CAINENII MICI;Rural;VL;CAINENI
172830;CALIGI;Rural;VL;RUNCU
167918;CALIMANESTI;Urban;VL;ORAS CALIMANESTI
172484;CALINA;Rural;VL;PRUNDENI
167810;CALINESTI;Urban;VL;ORAS BREZOI
168407;CAPU DEALULUI;Urban;VL;ORAS BABENI
170970;CARCADIESTI;Rural;VL;LUNGESTI
168498;CARLOGANI;Urban;VL;ORAS BALCESTI
171968;CARSTANESTI;Rural;VL;OTESANI
171824;CASA VECHE;Rural;VL;OLANU
169725;CATETU;Rural;VL;FARTATESTI
167507;CAZANESTI;Urban;VL;MUNICIPIUL RAMNICU VALCEA
171487;CAZANESTI;Rural;VL;MILCOIU
170113;CAZANESTI;Rural;VL;GHIOROIU
169431;CERETU;Rural;VL;DANICEI
170701;CERMEGESTI;Rural;VL;LADESTI
172297;CERMEGESTI;Rural;VL;PESCEANA
174049;CERNA;Rural;VL;VAIDEENI
172037;CERNELELE;Rural;VL;PAUSESTI
169057;CERNISOARA;Rural;VL;CERNISOARA
173622;CETATEAUA;Rural;VL;SUTESTI
167703;CHEIA;Urban;VL;ORAS BAILE OLANESTI
172723;CHERASTI;Rural;VL;ROSIILE
173971;CHICENI;Rural;VL;TOMSANI
168489;CHIRCULESTI;Urban;VL;ORAS BALCESTI
170710;CHIRICESTI;Rural;VL;LADESTI
171833;CIOBOTI;Rural;VL;OLANU
172634;CIOCALTEI;Rural;VL;ROESTI
171147;CIOCANARI;Rural;VL;MACIUCA
173169;CIOPONESTI;Rural;VL;STANESTI
173711;CIORASTI;Rural;VL;SIRINEASA
